1997-05-25,BhPxOT,'(509, 950), (194, 56), (97, 318), (172, 822)'
1998-08-21,sipeYo,'(55, 966), (412, 679), (410, 32), (433, 170)'
1994-11-04,CKrhCN,'(157, 969), (221, 609), (156, 461), (190, 200)'
1994-05-06,OAvNUz,'(398, 609), (601, 233), (953, 222), (600, 122)'
1990-11-22,GaSrmx,'(202, 794), (917, 655), (753, 569), (27, 787)'
1994-09-17,FUXfJn,'(167, 967), (803, 343), (652, 199), (593, 444)'
2000-12-13,ZGVInu,'(762, 685), (874, 694), (201, 214), (193, 896)'
1991-02-11,QStEnY,'(173, 854), (202, 354), (809, 898), (622, 823)'
1998-07-15,WZyoRe,'(613, 782), (128, 342), (85, 891), (234, 767)'
1995-01-11,bVXudo,'(182, 801), (969, 685), (961, 80), (443, 568)'
1997-07-25,MfVrFW,'(795, 487), (540, 295), (646, 376), (341, 44)'
1993-12-14,aXmmfr,'(22, 259), (783, 573), (130, 24), (143, 338)'
1994-08-20,kVlRqE,'(256, 109), (198, 879), (827, 322), (438, 591)'
1996-05-30,MZoLoL,'(281, 270), (35, 438), (390, 891), (166, 961)'
1999-12-18,aBhJhu,'(76, 976), (65, 365), (412, 737), (668, 864)'
1994-07-27,UJgwfu,'(378, 681), (90, 807), (286, 67), (309, 284)'
1999-02-02,eilvwD,'(18, 524), (100, 539), (915, 219), (383, 203)'
1991-01-15,VCUicL,'(930, 8), (481, 284), (811, 226), (382, 567)'
1992-10-28,AhfrWJ,'(126, 825), (730, 735), (304, 298), (706, 494)'
1997-07-08,hVyagd,'(242, 981), (850, 68), (124, 700), (594, 497)'
1990-09-30,XDxiJB,'(762, 141), (804, 68), (4, 567), (454, 395)'
1996-10-25,UyDonf,'(272, 41), (755, 684), (748, 43), (209, 877)'
2000-08-07,ujogVm,'(131, 246), (971, 960), (826, 744), (216, 468)'
1995-04-09,rOgMJT,'(543, 100), (127, 931), (424, 240), (906, 357)'
1994-03-15,tZCVnG,'(590, 782), (513, 322), (873, 572), (243, 398)'
1991-01-16,RqhSgE,'(960, 924), (39, 64), (181, 350), (937, 149)'
1994-11-02,HFwSuY,'(380, 371), (92, 887), (145, 807), (387, 290)'
2000-02-10,TNBMZU,'(889, 517), (559, 389), (412, 728), (131, 702)'
1997-06-03,xfMiZP,'(300, 707), (487, 825), (708, 141), (489, 296)'
1991-08-02,cxkzNp,'(350, 302), (315, 599), (119, 848), (121, 562)'
1996-07-08,EfyYMO,'(458, 918), (895, 252), (659, 904), (950, 840)'
1995-06-11,QiwSVr,'(428, 786), (211, 120), (104, 477), (163, 225)'
1996-06-25,zLWFWp,'(639, 699), (172, 920), (71, 557), (219, 303)'
1996-09-16,ucQCPY,'(946, 22), (819, 799), (259, 449), (288, 59)'
2000-06-16,xbYtSb,'(169, 931), (568, 119), (700, 90), (454, 600)'
1991-06-10,Ycxuoz,'(717, 878), (416, 845), (89, 1), (661, 905)'
1998-05-09,xeRPxY,'(199, 475), (633, 273), (443, 997), (109, 953)'
1992-04-25,jmdAtr,'(124, 297), (519, 768), (312, 598), (700, 756)'
1995-11-30,iFVqqV,'(318, 865), (430, 29), (349, 352), (975, 961)'
2000-07-29,uFIRjF,'(478, 147), (400, 687), (149, 804), (247, 434)'
1999-10-17,mCsxxz,'(835, 804), (933, 872), (340, 320), (194, 525)'
1994-01-02,yNEnSB,'(516, 635), (67, 306), (518, 861), (119, 19)'
1991-10-16,HEEyxE,'(574, 191), (236, 183), (11, 628), (299, 790)'
1995-09-20,gNjLNo,'(954, 273), (178, 109), (74, 634), (213, 29)'
1998-02-08,OgIBka,'(10, 636), (975, 356), (132, 506), (955, 680)'
1992-11-11,BYCFYr,'(81, 452), (626, 346), (28, 960), (833, 595)'
1999-11-29,dtFTDs,'(670, 951), (702, 421), (580, 24), (654, 237)'
1992-11-27,cXSqiR,'(605, 157), (365, 421), (895, 924), (20, 567)'
1995-02-10,qHeSrz,'(641, 38), (859, 589), (381, 965), (832, 327)'
2000-01-07,HyaSQQ,'(210, 840), (140, 730), (256, 444), (655, 983)'
1997-09-04,Hthjqm,'(880, 475), (144, 863), (149, 101), (889, 906)'
1997-04-29,rckAJE,'(588, 247), (472, 22), (731, 888), (463, 607)'
1996-02-12,zjWdGO,'(695, 200), (720, 260), (942, 293), (719, 35)'
1999-08-25,EPtuwv,'(423, 681), (342, 665), (603, 757), (79, 139)'
