'(952, 172), (388, 29), (325, 451), (698, 411)',H7,1997-04-16
'(588, 502), (311, 899), (291, 4), (326, 142)',H5,1999-11-31
'(5, 375), (50, 486), (897, 784), (273, 259)',H13,1994-09-14
'(725, 562), (806, 938), (488, 600), (650, 853)',H2,1996-09-26
'(442, 864), (432, 663), (750, 347), (657, 411)',H14,1994-04-15
'(196, 998), (802, 651), (320, 486), (116, 158)',H2,1991-01-22
'(967, 581), (18, 327), (0, 656), (270, 808)',H8,1994-03-22
'(462, 180), (634, 327), (556, 654), (48, 763)',H14,1992-09-10
'(226, 303), (998, 614), (54, 911), (512, 339)',H19,1992-09-05
'(765, 2), (486, 803), (932, 229), (447, 891)',H18,1997-03-22
'(525, 680), (757, 668), (721, 270), (467, 882)',H1,1991-02-18
'(11, 814), (299, 238), (326, 228), (344, 963)',H2,1991-02-20
'(157, 550), (470, 414), (785, 844), (338, 431)',H15,1996-01-21
'(672, 244), (485, 722), (466, 764), (258, 259)',H19,1999-07-03
'(160, 71), (301, 231), (426, 683), (15, 810)',H15,1997-05-14
'(362, 991), (552, 112), (615, 912), (93, 590)',H9,1993-10-11
'(380, 35), (985, 266), (695, 912), (636, 510)',H9,1999-02-16
'(726, 878), (651, 14), (353, 968), (951, 705)',H19,1996-03-28
'(709, 618), (674, 432), (510, 333), (637, 889)',H4,1996-12-13
'(103, 986), (512, 835), (954, 503), (879, 66)',H11,1997-09-19
'(951, 194), (153, 804), (425, 579), (612, 339)',H4,1990-10-17
'(880, 734), (265, 903), (887, 622), (347, 515)',H17,1993-05-19
'(663, 354), (52, 999), (641, 209), (298, 895)',H18,1991-09-18
'(967, 569), (805, 49), (837, 898), (88, 170)',H12,1998-02-17
'(336, 518), (175, 559), (639, 90), (487, 755)',H3,1995-09-01
'(195, 789), (903, 551), (837, 421), (185, 899)',H1,1995-04-17
'(55, 502), (516, 984), (398, 588), (914, 951)',H12,1991-04-30
'(507, 478), (850, 590), (809, 674), (111, 243)',H2,1997-04-06
'(160, 4), (785, 256), (152, 530), (550, 75)',H16,1996-05-28
'(316, 578), (588, 98), (410, 981), (553, 911)',H6,1990-03-25
'(234, 103), (292, 908), (474, 142), (25, 532)',H16,1991-03-20
'(463, 754), (930, 997), (6, 806), (351, 896)',H8,1997-05-02
'(452, 991), (843, 445), (983, 50), (669, 839)',H1,1999-12-19
'(259, 412), (629, 859), (442, 49), (803, 242)',H19,1994-09-25
'(753, 197), (651, 934), (441, 307), (284, 609)',H5,1995-09-16
'(737, 719), (310, 174), (430, 255), (889, 252)',H7,1999-06-23
'(342, 243), (601, 255), (766, 251), (826, 184)',H6,1994-07-14
'(315, 393), (982, 726), (428, 245), (490, 170)',H7,1996-11-20
'(237, 226), (62, 226), (617, 820), (46, 526)',H3,1991-07-02
'(47, 743), (783, 207), (967, 41), (0, 836)',H4,1992-06-04
'(315, 416), (980, 257), (813, 721), (830, 984)',H11,1999-07-19
'(254, 848), (694, 359), (596, 580), (158, 21)',H3,1999-03-13
'(383, 299), (227, 271), (256, 597), (518, 871)',H6,1993-04-20
'(95, 353), (398, 177), (144, 909), (622, 700)',H17,1997-08-08
'(804, 814), (700, 399), (384, 796), (977, 310)',H6,1991-09-17
